m 5 1 0 [부분불일치] bhi.n,ldr,adds,str,cmp add.w,adds,str,movs,strb
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 1 5 [완전일치] ldr,ldr,lsls,add.w,str ldr,ldr,lsls,add.w,str
m 5 1 5 [완전일치] ldr,mov,ldr,b.w,stmdb ldr,mov,ldr,b.w,stmdb
m 5 1 5 [완전일치] ldr,str,ldr,str,ldr ldr,str,ldr,str,ldr
m 5 1 5 [완전일치] ldr.w,lsrs,and.w,lsls,and.w ldr.w,lsrs,and.w,lsls,and.w
m 5 1 5 [완전일치] ldr.w,lsrs,and.w,lsls,and.w ldr.w,lsrs,and.w,lsls,and.w
m 5 1 5 [완전일치] ldrb.w,strb.w,cmp,bne.n,ldrb.w ldrb.w,strb.w,cmp,bne.n,ldrb.w
m 5 1 5 [완전일치] lsls,and.w,orrs,mov.w,str.w lsls,and.w,orrs,mov.w,str.w
m 5 1 5 [완전일치] lsls,and.w,orrs,mov.w,str.w lsls,and.w,orrs,mov.w,str.w
m 5 1 5 [완전일치] lsls,and.w,orrs,mov.w,str.w lsls,and.w,orrs,mov.w,str.w
m 5 1 5 [완전일치] lsrs,and.w,lsls,and.w,orrs lsrs,and.w,lsls,and.w,orrs
m 5 1 5 [완전일치] lsrs,and.w,lsls,and.w,orrs lsrs,and.w,lsls,and.w,orrs
m 5 1 5 [완전일치] lsrs,and.w,lsls,and.w,orrs lsrs,and.w,lsls,and.w,orrs
m 5 1 5 [완전일치] mov,ldr,b.w,stmdb,adds mov,ldr,b.w,stmdb,adds
m 5 1 5 [완전일치] mov,mov,bl,stmdb,sub mov,mov,bl,stmdb,sub
m 5 1 5 [완전일치] mov,mov,cmp,beq.n,ldr mov,mov,cmp,beq.n,ldr
m 5 1 5 [완전일치] mov.w,str.w,add.w,cmp,bcc.n mov.w,str.w,add.w,cmp,bcc.n
m 5 1 5 [완전일치] mov.w,str.w,add.w,cmp,bcc.n mov.w,str.w,add.w,cmp,bcc.n
m 5 1 5 [완전일치] mov.w,str.w,add.w,cmp,bcc.n mov.w,str.w,add.w,cmp,bcc.n
m 5 1 5 [완전일치] orrs,mov.w,str.w,add.w,cmp orrs,mov.w,str.w,add.w,cmp
m 5 1 5 [완전일치] str,ldr,str,ldr,str str,ldr,str,ldr,str
m 5 1 5 [완전일치] str.w,add.w,cmp,bcc.n,ldr.w str.w,add.w,cmp,bcc.n,ldr.w
m 5 1 5 [완전일치] str.w,add.w,cmp,bcc.n,ldr.w str.w,add.w,cmp,bcc.n,ldr.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 1 5 [완전일치] strb.w,cmp,bne.n,ldrb.w,strb.w strb.w,cmp,bne.n,ldrb.w,strb.w
