m 5 2 0 [부분불일치] bl,cbz,push,cbz,bl rsb,movs,add,bl,add
m 5 2 5 [완전일치] cmp,bcc.n,ldr.w,lsrs,and.w cmp,bcc.n,ldr.w,lsrs,and.w
m 5 2 5 [완전일치] cmp,bne.n,ldrb.w,strb.w,cmp cmp,bne.n,ldrb.w,strb.w,cmp
m 5 2 5 [완전일치] cmp,bne.n,ldrb.w,strb.w,cmp cmp,bne.n,ldrb.w,strb.w,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] cmp,bne.n,strb.w,b.n,cmp cmp,bne.n,strb.w,b.n,cmp
m 5 2 5 [완전일치] ldr.w,lsrs,and.w,lsls,and.w ldr.w,lsrs,and.w,lsls,and.w
m 5 2 5 [완전일치] lsls,and.w,orrs,mov.w,str.w lsls,and.w,orrs,mov.w,str.w
m 5 2 5 [완전일치] mov.w,str.w,add.w,cmp,bcc.n mov.w,str.w,add.w,cmp,bcc.n
m 5 2 5 [완전일치] orrs,mov.w,str.w,add.w,cmp orrs,mov.w,str.w,add.w,cmp
m 5 2 5 [완전일치] stmdb,sub,mov,mov,mov.w stmdb,sub,mov,mov,mov.w
m 5 2 5 [완전일치] str,ldr,str,add.w,sub.w str,ldr,str,add.w,sub.w
m 5 2 5 [완전일치] str.w,add.w,cmp,bcc.n,ldr.w str.w,add.w,cmp,bcc.n,ldr.w
m 5 2 5 [완전일치] str.w,add.w,cmp,bcc.n,ldr.w str.w,add.w,cmp,bcc.n,ldr.w
m 5 2 5 [완전일치] str.w,add.w,cmp,bcc.n,ldr.w str.w,add.w,cmp,bcc.n,ldr.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,b.n,cmp,bne.n,strb.w strb.w,b.n,cmp,bne.n,strb.w
m 5 2 5 [완전일치] strb.w,cmp,bne.n,ldrb.w,strb.w strb.w,cmp,bne.n,ldrb.w,strb.w
m 5 2 5 [완전일치] strb.w,cmp,bne.n,ldrb.w,strb.w strb.w,cmp,bne.n,ldrb.w,strb.w
